Time;Time Code;Country Name;Country Code;GDP per capita (Current US$);Proportion of seats held by women in national parliaments (%);Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);Unemployment, total (% of total labor force) (modeled ILO estimate);Inflation, consumer prices (annual %);Population, total;GDP growth (annual %) 
2024;YR2024;New Caledonia;NCL;29213,19232;..;51,608;10,991;..;292639;-13,5
2024;YR2024;New Zealand;NZL;49205,17921;45,52845528;66,255;4,724;2,922797823;5287500;1,288620047
2024;YR2024;Nicaragua;NIC;2847,539663;53,84615385;51,082;4,98;4,624738411;6916140;3,587830229
2024;YR2024;Niger;NER;735,2702558;..;72,787;0,376;9,071519977;27032412;10,3
2024;YR2024;Nigeria;NGA;1084,160418;3,910614525;80,714;3,045;33,24209665;232679478;4,062364089
2024;YR2024;Northern Mariana Islands;MNP;..;..;..;..;..;44278;..
2024;YR2024;Norway;NOR;86785,43345;44,37869822;62,292;4;3,145301344;5572279;2,0972306
2024;YR2024;Oman;OMN;20285,22729;0;30,061;3,203;0,593589236;5281538;1,631632211
2024;YR2024;Pakistan;PAK;1478,77278;17,04180064;23,989;5,492;12,63253185;251269164;3,048982873
2024;YR2024;Palau;PLW;..;25;..;..;2,231727729;17695;..
2024;YR2024;Panama;PAN;19161,21885;21,42857143;54,832;8,451;0,693225551;4515577;2,747885455
2024;YR2024;Papua New Guinea;PNG;3006,705645;2,702702703;50,697;2,625;0,602403921;10576502;3,799795601
2024;YR2024;Paraguay;PRY;6416,09709;23,75;58,944;5,686;3,835402717;6929153;4,249960105
2024;YR2024;Peru;PER;8452,371671;38,46153846;64,939;5,199;2,007707394;34217848;3,303940982
2024;YR2024;Philippines;PHL;3984,831539;27,33118971;50,511;2,202;3,21260487;115843670;5,692016128
2024;YR2024;Poland;POL;25103,56566;29,56521739;51,913;2,807;3,784260075;36559233;3,028416307
2024;YR2024;Portugal;PRT;29292,2421;32,60869565;54,888;6,5;2,416131878;10694681;2,139671772
2024;YR2024;Puerto Rico;PRI;39343,71547;..;36,681;5,639;..;3203295;3,177075548
2024;YR2024;Qatar;QAT;76688,69417;4,444444444;61,78;0,13;1,267343103;2857822;2,359705869
2024;YR2024;Romania;ROU;20080,20962;19,20731707;41,904;5,4;5,721405744;19051804;0,916003764
2024;YR2024;Russian Federation;RUS;14889,01855;16,44444444;55,214;2,43;8,434864105;143533851;4,344374755
2024;YR2024;Rwanda;RWA;999,6545617;63,75;57,099;11,331;1,770292402;14256567;8,890655296
2024;YR2024;Samoa;WSM;5392,877619;12,96296296;31,145;4,855;2,172455305;218019;4,748384456
2024;YR2024;San Marino;SMR;..;35;..;..;1,242165079;33977;..
2024;YR2024;Sao Tome and Principe;STP;3490,568835;14,54545455;22,771;9,057;14,35192736;235536;1,099999401
2024;YR2024;Saudi Arabia;SAU;35121,66287;19,86754967;33,305;3,518;1,687921124;35300280;1,996501734
2024;YR2024;Senegal;SEN;1773,218299;41,21212121;37,99;2,788;0,804503299;18501984;6,060551412
2024;YR2024;Serbia;SRB;13679,2066;38;52,619;7,24;4,670529749;6586476;3,949926226
2024;YR2024;Seychelles;SYC;17858,82264;20,58823529;..;..;0,311726051;121354;3,465680664
2024;YR2024;Sierra Leone;SLE;806,6546504;29,53020134;51,815;3,103;28,63375;8642022;4,293223367
2024;YR2024;Singapore;SGP;90674,06663;29,29292929;63,136;2,737;2,389511236;6036860;4,388023625
2024;YR2024;Sint Maarten (Dutch part);SXM;41472,58745;..;..;..;..;43350;3
2024;YR2024;Slovak Republic;SVK;25992,67485;22,66666667;55,464;5,3;2,757609094;5422069;1,938674455
2024;YR2024;Slovenia;SVN;34301,03187;37,77777778;52,644;3,7;1,965626564;2127400;1,731397225
2024;YR2024;Solomon Islands;SLB;1933,555384;6;82,328;1,444;4,321839484;819198;2,997559876
2024;YR2024;Somalia, Fed. Rep.;SOM;629,5388994;19,63636364;20,722;18,949;..;19009151;4,111393358
2024;YR2024;South Africa;ZAF;6267,186814;44,70284238;49,801;32,279;4,361152465;64007187;0,534843532
2024;YR2024;South Asia;SAS;2690,078837;16,26916525;32,97517518;4,19214669;3,723206119;1677384532;6,232599676
2024;YR2024;South Sudan;SSD;..;32,36363636;..;..;91,44082208;11943408;..
2024;YR2024;Spain;ESP;35326,76831;44,28571429;53,195;11,4;2,774178265;48848840;3,455254056
2024;YR2024;Sri Lanka;LKA;4515,567873;10;30,998;4,239;-0,429360049;21916000;5,00871931
2024;YR2024;St. Kitts and Nevis;KNA;23960,65344;31,25;..;..;..;46843;0,312226856
2024;YR2024;St. Lucia;LCA;14181,63034;11,11111111;61,885;10,199;-0,110283576;179744;3,891750242
2024;YR2024;St. Martin (French part);MAF;..;..;..;..;..;26129;..
2024;YR2024;St. Vincent and the Grenadines;VCT;11501,22652;21,73913043;59,253;18,093;3,627707369;100616;4,061834901
2024;YR2024;Sub-Saharan Africa;SSF;1532,927636;26,87765706;65,1768859;5,667859645;4,239039229;1291044964;3,597333247
2024;YR2024;Sudan;SDN;984,607666;..;..;..;..;50448963;-13,96433752
2024;YR2024;Suriname;SUR;6961,78956;31,37254902;44,887;7,621;16,22961591;634431;1,72095737
2024;YR2024;Sweden;SWE;57117,48774;46,70487106;61,68;8,4;2,835816582;10569709;0,820071807
2024;YR2024;Switzerland;CHE;103998,1867;38,5;62,53;4,343;1,06234042;9005582;1,302333325
2024;YR2024;Syrian Arab Republic;SYR;..;9,6;12,772;13,359;..;24672760;..
2024;YR2024;Tajikistan;TJK;1341,20229;26,98412698;21,946;7,041;..;10590927;8,39999981
2024;YR2024;Tanzania;TZA;1186,716919;37,40458015;80,288;1,557;3,056946763;68560157;5,526313831
2024;YR2024;Thailand;THA;7346,620221;19,4;59,473;0,781;1,365805408;71668011;2,541820677
2024;YR2024;Timor-Leste;TLS;1331,970513;35,38461538;61,457;1,523;2,06284153;1400638;-9,100693698
2024;YR2024;Togo;TGO;1119,381605;18,5840708;56,604;1,948;2,862620741;9515236;6,532045056
2024;YR2024;Tonga;TON;..;7,142857143;42,5;1,965;3,183646113;104175;..
2024;YR2024;Trinidad and Tobago;TTO;18733,41104;28,57142857;48,149;3,318;0,526884626;1368333;2,50920814
2024;YR2024;Tunisia;TUN;4181,137893;15,68627451;26,635;15,341;7,206616572;12277109;1,61444565
2024;YR2024;Turkiye;TUR;15892,71573;19,86644407;36,786;8,8;58,50645073;85518661;3,327623089
2024;YR2024;Turkmenistan;TKM;6856,658027;25,6;38,35;4,02;..;7494498;6,299426584
2024;YR2024;Turks and Caicos Islands;TCA;37506,77984;..;..;..;..;46535;5,636825174
2024;YR2024;Tuvalu;TUV;..;0;..;..;..;9646;..
2024;YR2024;Ukraine;UKR;5389,473145;21,09181141;..;..;6,501984647;37860221;2,913822214
2024;YR2024;Uruguay;URY;23906,5133;28,28282828;57,264;8,209;4,849143666;3386588;3,108254781
2024;YR2024;Uzbekistan;UZB;3161,700106;38;41,273;4,439;9,62825466;36361859;6,5
2024;YR2024;Vanuatu;VUT;3410,770232;1,960784314;53,531;4,988;..;327777;0,942185362
2024;YR2024;Venezuela, RB;VEN;4217,591026;..;37,332;5,321;..;28405543;5,3
2024;YR2024;Viet Nam;VNM;4717,290287;30,62880325;68,905;1,602;3,621092739;100987686;7,091187466
2024;YR2024;Virgin Islands (U.S.);VIR;..;..;52,833;11,423;..;104377;..
2024;YR2024;West Bank and Gaza;PSE;2592,305912;..;..;..;53,66914583;5289152;-26,55752645
2024;YR2024;Yemen, Rep.;YEM;..;0;4,705;16,97;..;40583164;..
2024;YR2024;Zambia;ZMB;1187,109434;14,97005988;56,366;5,898;14,98562627;21314956;3,820048255
2024;YR2024;Zimbabwe;ZWE;2497,203322;28,08988764;62,115;9,435;..;16634373;1,742395249
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Data from database: Gender Statistics;;;;;;;;;;
Last Updated: 02/02/2026;;;;;;;;;;
